Ticker,AAPL,ABBV,ADBE,AMZN,BAC,COST,CRM,CSCO,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MRK,MSFT,NFLX,NVDA,PEP,PG,T,TSLA,UNH,V,WMT,XOM
AAPL,0.00033482982587303936,0.00010371293588113948,0.00023945105501749046,0.00022803085776723812,0.0001336256249659377,0.00011793484762415823,0.00020897933943659838,0.0001662449149521985,0.00010741142801565544,0.00011733023690722671,0.00020688400999356658,0.00013479502094782822,0.00020585494711499827,7.944828092100281e-05,0.00011713847473749059,7.247629962680406e-05,0.0001877698028064474,0.00022606646492198413,8.109309424109722e-05,0.00021716178404536756,0.00021934921995302476,0.00032559650250483575,8.384087482926777e-05,7.14937744584227e-05,7.205007777852401e-05,0.00028112872519534324,0.00013191460086387597,0.00016777327028436563,7.392510464133722e-05,0.00011102293924308125
ABBV,0.00010371293588113948,0.0002478372723853375,0.00011296159195887915,8.793655189715059e-05,0.00010928791227420969,6.566702977704408e-05,0.00010686303838163437,0.0001170066526272852,0.00010863592613430184,8.441350412956935e-05,0.00012239971868833297,9.037207987366071e-05,0.00013107396198689146,8.629994462165994e-05,9.592119725625947e-05,7.030882394522374e-05,0.0001190013249602926,0.00010209957822414576,0.00010575595611550608,0.00011164197400986188,8.845357316460156e-05,0.00015478660114715684,7.105728045868485e-05,6.236357829532898e-05,8.279643498648636e-05,0.00011895942185314707,0.00011969767281741856,0.00011038971577323385,5.213636486912446e-05,0.00010472540811197856
ADBE,0.00023945105501749046,0.00011296159195887915,0.0003914195673298294,0.0002651035019005217,0.00011349473038773344,0.00013242347785548468,0.0002982628394872613,0.00017277583791405263,9.066840913689101e-05,0.00012053468821613421,0.00023850772925246264,0.00014504192402363495,0.00021142302955983955,7.452041014222053e-05,9.381824139974485e-05,7.557839830087674e-05,0.00022071659225267573,0.00025655231428580014,9.163983789850375e-05,0.0002634326306973934,0.00029116304222616835,0.00038010731357151817,8.301279382985607e-05,6.697522056409279e-05,5.1747015241492467e-05,0.0003222384739539846,0.0001343762598246001,0.00020276563474634288,7.251337693390752e-05,8.689265326132857e-05
AMZN,0.00022803085776723812,8.793655189715059e-05,0.0002651035019005217,0.0003595068555686367,0.00010212024408097455,0.00011766849267912245,0.00023679049559001563,0.00015049785209144103,8.098057480197872e-05,0.00010592289493354451,0.000221869481472863,0.0001212929625311035,0.0001889445965530919,6.17303821585905e-05,8.554816862504943e-05,4.7414400866498155e-05,0.00018367985849255443,0.0002491402906334976,6.410807785105125e-05,0.00022486407518796606,0.00029369607501733336,0.0003389134302610663,6.288424068557353e-05,5.4630074680794464e-05,4.649902323419103e-05,0.0002763835188486448,0.00011502447801523105,0.00015763323444276144,7.11222950230867e-05,7.607316824222853e-05
BAC,0.0001336256249659377,0.00010928791227420969,0.00011349473038773344,0.00010212024408097455,0.00037039410719342874,7.131398792049834e-05,0.00013282645692858997,0.00015976077464820144,0.00021470597262589588,0.0001758146330878871,0.0001462872005925305,0.00012693968446309735,0.00017597345304390432,8.048189044768984e-05,0.00029438785816841595,0.0001032707407659202,0.0001808038383606103,0.00013034032015793782,8.96397026934553e-05,0.00012499518280388803,0.00010160344593865629,0.000183963845443778,6.583286923511629e-05,6.284775103571912e-05,0.00014969743660642423,0.00016644465737804197,0.0001438864767275804,0.00016837999419771948,5.8978867807960546e-05,0.00023377409293624205
COST,0.00011793484762415823,6.566702977704408e-05,0.00013242347785548468,0.00011766849267912245,7.131398792049834e-05,0.0001527348019830514,0.00010713061990408223,0.00010238100982328769,6.077508598917733e-05,6.72544047895637e-05,0.00010551975668339117,0.00010076396410837253,0.00011473276768496779,6.480953601059768e-05,6.533112564714657e-05,6.032390233397961e-05,9.64794508704692e-05,0.0001092749393112279,6.07408720594381e-05,0.00011828625684799385,0.00012184102151286614,0.00016855580276594885,7.094370042727618e-05,6.59424291432472e-05,5.937756952130226e-05,0.0001260753501845025,8.658286416386618e-05,9.117659162780687e-05,8.707849299195592e-05,5.995438914073122e-05
CRM,0.00020897933943659838,0.00010686303838163437,0.0002982628394872613,0.00023679049559001563,0.00013282645692858997,0.00010713061990408223,0.0003880098279939063,0.00016462695784292988,0.00010174885049819966,0.000125054141114252,0.0002157553102839376,0.00013175983811589657,0.000188698800331299,6.964318717568199e-05,0.00011212129490164978,7.055318274560246e-05,0.00022051927771138969,0.00023036589768200385,8.752683050422965e-05,0.0002359525912483121,0.00025820808020751316,0.00033366396794063703,7.35616491456462e-05,6.401440204524611e-05,7.079609432113381e-05,0.0002993146242782857,0.00012103831616250238,0.00019425941371684766,6.379287265965519e-05,9.706645907759378e-05
CSCO,0.0001662449149521985,0.0001170066526272852,0.00017277583791405263,0.00015049785209144103,0.00015976077464820144,0.00010238100982328769,0.00016462695784292988,0.0002479799517770776,0.0001331290071163508,0.00012837258840380758,0.0001562879471380426,0.00011955298456087517,0.00018897511215713506,9.382714323668988e-05,0.0001349983325893918,7.966396127384824e-05,0.0001696976261989512,0.00014507639863763923,9.354246728393287e-05,0.00016436081574653074,0.00015118371702964862,0.00022866037658773902,7.887099867795772e-05,7.659205873288797e-05,9.791506835793224e-05,0.00016268070764935606,0.00012309111960588296,0.00015461535217590493,7.205070000093633e-05,0.00013594815150840502
CVX,0.00010741142801565544,0.00010863592613430184,9.066840913689101e-05,8.098057480197872e-05,0.00021470597262589588,6.077508598917733e-05,0.00010174885049819966,0.0001331290071163508,0.00030073386422691174,0.00013825885375204914,0.00012866997280970487,0.00010012219305095798,0.00015450228747797496,7.626894628334629e-05,0.00018677408131533772,9.185516274228291e-05,0.00015629722057579177,0.0001092774952606169,8.597320137984008e-05,0.00010601635443353705,7.622180127230713e-05,0.00015700532851103908,5.8653364344576e-05,5.3742330731340204e-05,0.00011751499871277802,0.00013533285850135992,0.0001242033887264538,0.00014498796039679514,5.1259341671272714e-05,0.0002723327924859213
DIS,0.00011733023690722671,8.441350412956935e-05,0.00012053468821613421,0.00010592289493354451,0.0001758146330878871,6.72544047895637e-05,0.000125054141114252,0.00012837258840380758,0.00013825885375204914,0.00027230138019612173,0.00013544354538817864,0.0001092066883950348,0.00014219502456780408,6.426999874169685e-05,0.00015650326366955407,9.082077787792603e-05,0.0001735397811499855,0.00013278788740376033,6.826624247071388e-05,0.00012014885280803479,0.0001064758864617731,0.00015594232005462452,6.6221527258867e-05,5.937235923239704e-05,0.00010759157458902726,0.0001566941197135984,0.00010315861383502126,0.00015644565805076686,5.0117350151026515e-05,0.00015266297944221824
